season,game_id,game_date,home_team,away_team,home_pts,away_pts,label,elo_diff,net_rtg_diff,off_rtg_diff,def_rtg_diff,pace_diff,pythagorean_diff,log5_prob,efg_pct_diff,tov_pct_diff,oreb_pct_diff,ft_rate_diff,three_pt_rate_diff,three_pt_pct_diff,ts_pct_diff,ast_pct_diff,stl_pct_diff,blk_pct_diff,team_10d_net_rtg_diff,team_10d_off_rtg_diff,momentum_diff,rest_days_diff,b2b_home,b2b_away,travel_tz_shift_home,travel_tz_shift_away,is_home,altitude_factor,star_player_impact_diff,injury_impact_diff,lineup_net_rtg_diff,bench_net_rtg_diff,clutch_net_rtg_diff,h2h_season_record,vegas_home_prob,mc_win_pct
2018-19,0021800263,2018-11-21,UTA,SAC,110.0,119.0,0,23.9,-0.233,-1.807,-1.574,-5.725,-0.0014,0.4414,-0.0153,0.0099,-0.0031,0.0939,0.08,-0.0538,-0.0014,0.0617,0.1431,1.2172,-3.354,-3.158,-3.121,0,0,0,0,1,1,0.0,0.0,0.0,-0.117,0.0,0.0,0.5,0.0,0.5819
2018-19,0021800252,2018-11-21,CHA,IND,127.0,109.0,1,-44.96,1.529,4.054,2.526,4.72,0.0093,0.3529,-0.0124,-0.0213,0.0355,-0.0038,0.0828,-0.0258,0.0,0.0122,-2.3825,0.5115,1.832,4.346,0.304,0,0,0,0,1,1,0.0,0.0,0.0,0.764,0.0,0.0,0.5,0.0,0.5631
2018-19,0021800262,2018-11-21,SAS,MEM,103.0,104.0,0,-157.18,-2.171,2.918,5.088,2.62,-0.004,0.3125,-0.0196,-0.0176,0.0571,-0.0554,-0.0656,0.0049,-0.0163,-0.0648,-3.5,-1.0155,-2.51,-0.058,-0.339,0,0,0,0,1,1,0.0,0.0,0.0,-1.085,0.0,0.0,0.5,0.0,0.4255
2018-19,0021800255,2018-11-21,BOS,NYK,109.0,117.0,0,161.78,0.246,-0.188,-0.434,-2.324,0.0004,0.7975,0.0122,-0.012,-0.0572,-0.0528,0.0801,0.0173,0.0038,0.1416,0.2322,0.537,1.736,1.284,1.49,1,0,1,0,1,1,0.0,0.0,0.0,0.123,0.0,0.0,0.5,0.0,0.6631
2018-19,0021800259,2018-11-21,MIL,POR,143.0,100.0,1,42.79,-1.017,1.699,2.715,2.559,-0.0015,0.5556,0.0378,0.0056,-0.0252,-0.0224,0.0827,-0.0043,0.0221,0.0977,0.7053,1.5368,-2.817,3.498,-1.801,1,0,1,0,1,1,0.0,0.0,0.0,-0.508,0.0,0.0,0.5,0.0,0.5815
2018-19,0021800260,2018-11-21,MIN,DEN,101.0,103.0,0,-46.06,-9.561,-3.612,5.949,2.501,-0.0384,0.3289,-0.0223,-0.0045,-0.0039,0.0021,-0.0118,0.0422,-0.0129,-0.0354,0.8867,0.693,-14.11,-6.377,-4.549,1,0,0,0,1,1,0.0,0.0,0.0,-4.78,0.0,0.0,0.5,0.0,0.4047
2018-19,0021800257,2018-11-21,CHI,PHX,124.0,116.0,1,23.73,-1.06,-1.937,-0.877,2.254,-0.0009,0.5714,-0.025,-0.0246,-0.0099,-0.0093,-0.0439,0.0108,-0.0256,-0.0622,0.0688,1.0657,-3.215,-5.32,-2.155,2,0,0,0,1,1,0.0,0.0,0.0,-0.53,0.0,0.0,0.5,0.0,0.5689
2018-19,0021800267,2018-11-23,DET,HOU,116.0,111.0,1,-73.84,0.402,-2.29,-2.691,6.459,-0.0007,0.4706,-0.0346,-0.0043,0.0244,-0.0063,-0.122,-0.0186,-0.0295,-0.0146,-1.9447,-2.4748,-1.077,-6.221,-1.479,0,0,0,0,1,1,0.0,0.0,0.0,0.201,0.0,0.0,0.5,0.0,0.5251
2018-19,0021800268,2018-11-23,ATL,BOS,96.0,114.0,0,-183.37,-9.136,-4.373,4.763,6.027,-0.0138,0.1667,0.0002,0.0358,0.0033,0.0451,-0.0033,-0.0178,0.0026,0.0036,0.2231,0.0053,-6.229,-6.404,2.906,0,0,0,0,1,1,0.0,0.0,0.0,-4.568,0.0,0.0,0.5,0.0,0.3121
2018-19,0021800274,2018-11-23,OKC,CHA,109.0,104.0,1,50.66,7.463,-4.716,-12.179,0.562,0.04,0.6197,-0.031,0.0132,0.0494,0.0315,-0.0415,-0.0473,-0.0355,-0.0693,3.7458,-0.3203,13.051,-0.372,5.588,0,0,0,0,1,1,0.0,0.0,0.0,3.732,0.0,0.0,0.5,0.0,0.7109
2018-19,0021800265,2018-11-23,BKN,MIN,102.0,112.0,0,6.98,6.061,2.865,-3.197,-1.919,0.0201,0.5333,0.0141,-0.0015,0.0311,0.0034,0.0535,-0.0222,0.0033,-0.013,-2.3265,-1.2023,18.816,7.987,12.755,0,0,0,0,1,1,0.0,0.0,0.0,3.031,0.0,0.0,0.5,0.0,0.6651
2018-19,0021800269,2018-11-23,NYK,NOP,114.0,109.0,1,-155.45,-3.768,-7.244,-3.476,-2.902,-0.016,0.2222,-0.0377,0.0075,0.0168,-0.0265,0.0215,-0.0255,-0.0345,-0.1387,0.682,-0.7127,-7.082,-6.779,-3.314,0,0,0,0,1,1,0.0,0.0,0.0,-1.884,0.0,0.0,0.5,0.0,0.4026
2018-19,0021800270,2018-11-23,PHI,CLE,112.0,121.0,0,235.71,-1.907,2.385,4.291,7.55,-0.0015,0.9286,0.0232,0.0068,-0.0655,0.0952,0.0905,-0.0086,0.0308,0.1419,-0.9607,2.6058,-2.205,3.307,-0.298,0,0,0,0,1,1,0.0,0.0,0.0,-0.953,0.0,0.0,0.5,0.0,0.6571
2018-19,0021800266,2018-11-23,LAC,MEM,112.0,107.0,1,-46.33,-3.334,5.882,9.216,8.358,-0.004,0.4331,0.0115,0.0031,0.0064,0.0332,-0.0483,0.0115,0.0249,-0.0901,-4.0911,0.0272,-2.302,7.069,1.032,1,0,0,0,1,1,0.0,0.0,0.0,-1.667,0.0,0.0,0.5,0.0,0.487
2018-19,0021800273,2018-11-23,CHI,MIA,96.0,103.0,0,-23.16,-13.449,-2.951,10.498,-0.831,-0.0156,0.4135,0.0019,-0.0072,-0.0788,-0.0417,-0.0375,-0.0045,0.0042,-0.0043,1.1033,-1.7047,-12.77,-6.184,0.679,-1,0,0,0,1,1,0.0,0.0,0.0,-6.724,0.0,0.0,0.5,0.0,0.3829
2018-19,0021800271,2018-11-23,TOR,WAS,125.0,107.0,1,230.25,9.337,4.912,-4.425,-0.899,0.0326,0.873,0.0378,0.0124,0.0023,-0.0908,-0.0004,0.0182,0.0259,-0.0028,0.5368,-0.9624,4.813,1.95,-4.525,-1,0,0,0,1,1,0.0,0.0,0.0,4.669,0.0,0.0,0.5,0.0,0.8163
2018-19,0021800276,2018-11-23,DEN,ORL,112.0,87.0,1,45.18,9.572,3.496,-6.076,-0.209,0.0372,0.6111,0.008,0.0072,0.0257,0.0471,-0.0127,-0.0087,0.0111,-0.0132,1.278,-1.1371,-0.497,-3.076,-10.069,-1,0,0,0,1,1,1.5,0.0,0.0,4.786,0.0,0.0,0.5,0.0,0.7327
2018-19,0021800272,2018-11-23,IND,SAS,100.0,111.0,0,84.44,1.091,-1.291,-2.382,-0.715,0.002,0.6387,0.0427,0.0245,-0.0569,-0.0162,0.0274,0.0064,0.0254,0.0032,2.7614,1.242,-2.063,-1.499,-3.154,0,0,0,0,1,1,0.0,0.0,0.0,0.546,0.0,0.0,0.5,0.0,0.6385
2018-19,0021800275,2018-11-23,MIL,PHX,114.0,116.0,0,367.92,15.194,12.343,-2.851,4.32,0.0306,0.9381,0.0431,-0.0234,0.0172,-0.0089,0.0611,0.0224,0.0361,-0.0238,-0.8077,2.0018,14.464,13.711,-0.73,0,0,0,0,1,1,0.0,0.0,0.0,7.597,0.0,0.0,0.5,0.0,0.9032
2018-19,0021800277,2018-11-23,GSW,POR,125.0,97.0,1,-85.06,-0.152,2.532,2.684,-1.803,0.0015,0.4615,0.0331,0.0019,-0.0204,-0.0102,-0.0276,0.0175,0.0245,0.1569,1.1275,1.5023,-8.535,-0.496,-8.382,0,0,0,0,1,1,0.0,0.0,0.0,-0.076,0.0,0.0,0.5,0.0,0.5084
2018-19,0021800278,2018-11-23,LAL,UTA,90.0,83.0,1,71.42,4.49,3.881,-0.609,5.771,0.0116,0.641,0.0206,-0.0077,0.0082,-0.0949,-0.0671,0.0389,0.0115,-0.0556,-0.198,0.3327,8.558,6.27,4.068,0,0,0,0,1,1,0.0,0.0,0.0,2.245,0.0,0.0,0.5,0.0,0.6826
2018-19,0021800279,2018-11-24,CLE,HOU,117.0,108.0,1,-176.85,-7.064,-2.147,4.917,-0.271,-0.0214,0.16,-0.0274,0.0019,0.0219,-0.0348,-0.2214,0.025,-0.023,-0.041,-0.9153,-3.6077,-11.886,-5.344,-4.822,0,1,1,0,1,1,0.0,0.0,0.0,-3.532,0.0,0.0,0.5,0.0,0.3419
2018-19,0021800281,2018-11-24,MIN,CHI,111.0,96.0,1,154.25,13.421,5.879,-7.543,-0.964,0.0177,0.6707,0.0009,-0.014,0.0707,0.0202,-0.0024,0.0166,0.0071,0.0208,2.0548,0.6155,13.827,9.782,0.405,0,1,1,0,1,1,0.0,0.0,0.0,6.711,0.0,0.0,0.5,0.0,0.8273
2018-19,0021800283,2018-11-24,DAL,BOS,113.0,104.0,1,-1.55,-1.558,1.803,3.361,1.734,-0.0022,0.4444,0.0266,0.0291,-0.005,0.0849,-0.0151,0.0218,0.0322,-0.0533,-0.8328,-0.7689,-1.899,1.573,-0.341,2,0,1,0,1,1,0.0,0.0,0.0,-0.779,0.0,0.0,0.5,0.0,0.5447
